id,phone_sequence
fadg0_si1279,hIwLAJUaIrDFBLMrDwLMwQt
fadg0_si1909,tbLKsFPLkwDBPwJIBUJLHwLDyLlwKr
fadg0_si649,wLJctIrJtrCcBgbLcQvyDwLMywQLHrLHwJwDIrJLHnLMtrvrIFwLABymrKnLH
fadg0_sx109,KyJBOLMwDJLHIwEvrIbELABFBaDcJLMyLHJBFLH
fadg0_sx19,cBwFCwDcCDJFQSwrLAwDatwDLhytBnDUy
fadg0_sx199,TcDLiFBLkIwDKOmcQBSGmwLAJLhFKrLMLAwDLMsLzwJLMwUyUwJ
fadg0_sx289,SwlrLHIytLAcBaKwUrQwIyTyJtBwDJybmB
fadg0_sx379,HbDLuwQJLMIaglwEBcJDUaDLNrJLMsJUJ
faks0_si1573,vwUJLAbLMcDEScJLlywDcDvbLurLkwDwULhyPmwtBLhPFLMJLSaISaIDLKibLhy
faks0_si2203,lwIyUJswUJtIwlwJLkagQJyCELtBPBwKDe
faks0_si943,HIwLkcLAKDwDCstaBtaILhSFSwLAJLHwLMsKwDJ
faks0_sx133,HyLJrIywUJaILADQyETwDtrLASwLASaDLiK
faks0_sx223,HBcLlcLhOLirLhGaLMsLhBGcDCcLurIaKJ
faks0_sx313,lIaLtgaLtaIDJwDlcLhaLAJLHctaIyLuFe
faks0_sx403,vrSaILkIFLADJnJcQFCByJLArLMJDhBgeLJwJ
faks0_sx43,bnBkrByLHyLHBrIaLtDwLAJLABPLkwLk
fcal1_si1403,wSaSsUNnbDLkwlwLHsKwDJgLAwLABLhSgDwJCbDctnJMwLJneBt
fcal1_si2033,SOLhwywLABaJBKsDLkwNrIFSswJLMaGyBgLlwnJ
fcal1_si773,BnmFaLHIaLznLALMIgJBFBytIJnQIBLkbsUJU
fcal1_sx143,lwJbeDkwLzwDwtrULhTLuBJLAywrIrLlwbDBF
fcal1_sx233,vgSsywDtIySsCyDwJsDLlbsE
fcal1_sx323,lwtaLHrQwDwLlnCtrCrIgQwEaDLMagC
fcal1_sx413,kbtLyJLSymwJKJLDsmcLHSGDLJLAaItCbLiLMrJLArLM
fcal1_sx53,yQDwJwLHBQBLAbLhwBwIyLAwDLMsDJwChBJ
fcmh0_si1454,cIwLzBScBsyLlCsDLMgLKTPwULMSrQnIywJLAaCLHwUwKwDUctLHaBynJLMrJ
fcmh0_si2084,SgmwLhbmwLMyIPCDlsbCD
fcmh0_si824,JnQBtrCUnCIrLiwDLkgUwEwDUgDLHInLHrsKwDLMIPNHyCbnDwtbLKrwJU
fcmh0_sx104,vyUJLkFBcLkagCLHIcCcLhsLur
fcmh0_sx14,hytaINrJUJLMwUwLUbCLIyQTPnQIytaICyBa
fcmh0_sx194,hsywDLzGgwSnDgaLkwKwD
fcmh0_sx284,zntLMaTPaILuTPLkwDtsLQrcQwJwDzwtTPLiLHIrLiwJ
fcmh0_sx374,zaDLAByDUwKnBtwKtaIBwQwE
fdac1_si1474,vgJLAycEDCsbDvyUJbLhBwQLCagaLkwJLMbsyJLJ
fdac1_si2104,veavgebvytagaLsLBgKJLkFQGcJyLbQcBgbJ
