id,phone_sequence
fadg0_si1279,IwLAJaIrDaBLMrDwLMwQ
fadg0_si1909,tbLKFPLkwDBPwJIBUJLHwLDyNlwKr
fadg0_si649,wLJnQtrJUtrCcBgbLcQTyDwLMywQLHrLHwJwDrJLHnLMtrvrIFwLABymrKn
fadg0_sx109,KyJBwLMwDJLHrIyDvrsbELABaDcJLMyLHJBF
fadg0_sx19,cBPCwDcCJFQSwrLAwDaBtwDLhytBnDUy
fadg0_sx199,TcDLiwBLkIwDKOmcQBSGmwLAJLhFKrLMwLAwDLMsLzwJLkwUyUwJ
fadg0_sx289,SwlrLHIyNtLAcBaKwUrQwrTPUtcBwDJybmB
fadg0_sx379,HbDLuwQJLMIgmyEBnJwDUaDNrJLMsU
faks0_si1573,wUJLAbLMcDScJLlywDcDvbLurLkwDwULhTPmwtBLhPBLMJLSrSaIDwDLKbLhy
faks0_si2203,lwIyUJDwUJtrwlwJLMgQJyCELMtPBwKDe
faks0_si943,HrLkcLAKwCytaBtaILhBFSnLAJLHwLMsKwDJ
faks0_sx133,HyLJrIywUJrLADyDTwDtrwLASwLABcDLiK
faks0_sx223,HOLlcLhOLirLhBaLMsLhGScDCcLuraK
faks0_sx313,uIaLtgaLtaIDCJDcLhaLAJLHctaIyLuFeB
faks0_sx403,vrSaILkIFLADJnJcQFCByJLArLMJDLBgFQJwJ
faks0_sx43,nBlrByLHyLHBraNtcDwLAJLABPLkw
fcal1_si1403,wSaSsUlnbDkwlwLHsKwDJgLAOLABLhBgDnJLCbDctnJMwLJnBt
fcal1_si2033,hOLhywLABaJBKsDkwNrFSswJLMaIGBgLlwnJ
fcal1_si773,BnmaBLHIaLznLAJLMIgJBFBytrJnQIBLkbsU
fcal1_sx143,wJbDkwLzwDrtrULhTPuBJLAwrlwbDBF
fcal1_sx233,vgSsywDtIySsCyDwJsDLNlsE
fcal1_sx323,wtaLHrQwDwlnCtrCrIgQwEaDLMg
fcal1_sx413,kbKLDyUJLSymwKLDymcLHGDJLAaItLCbLiLMrJLAr
fcal1_sx53,yQmwJwLhBQwLAbLhTwBwnIyLAwDLMsDJwChBU
fcmh0_si1454,cIwLzDCrBsyLlwCsDLMgLKTPULMSrQnIywJLAaCLHwUwKwDUctLHaBycnJLMrJ
fcmh0_si2084,SnmwLhbmwLMyIPCDlsbwD
fcmh0_si824,JnQBtrCUrCrLiwDLkgUwEwDUgDLHInLHrsKwDNPtyCnDwtbLKrwJU
fcmh0_sx104,vyJLkFBcLkagCLHIcCcLhsLur
fcmh0_sx14,ytaINnrULMwUwLUbCDLIyQTPnQIytaICyBc
fcmh0_sx194,sywDzGwSnDgaLkwKwD
fcmh0_sx284,zntLMaTPaILuTPLkwDtQsQrcQwJwDzwtTPLzLHrLizwJU
fcmh0_sx374,zaDLAByDUwKnBtwKtaIBwQwE
fdac1_si1474,vcJLuycDCbDyvyUJbLhBwNLCaLkwJLMsJLJ
fdac1_si2104,vavgavyNJagaLsLBgKJLkFQGnJyLbDBgbJ
fdac1_si844,lbacJLMbLDwLAFBcQtwKwDUJsywUwLisyQLMLbLMyswLAJLHbDLMJcQlbLziaFSaBsLAJLHnIywDLJ
fdac1_sx124,aLzwLJLCsmwLHTPmrLhyPmctaB
fdac1_sx214,lcCaDwELuwBaDlnJLhgsLmFSbLuBnJnDLkwLwDlnJgaD
fdac1_sx304,iyLJLMgLAyEwULIbaDlcQtrwJLMgDlnISCaD
fdac1_sx34,keBDLkPLibeByUJLMsmyLkwKwUJ
fdac1_sx394,AbeBJywCsLAJLhaFDUJwDLMyJLMagaED
fdms0_si1218,HBcLJCaIBQrLMcSnBcDvTCwDLHbKDU
fdms0_si1502,TwSwUDgLUbLAByLHbDwLDsLusQSsLMyLhwLHsLAwLDaLzwJwLlMnr
fdms0_si1848,SyLuwDLkgLMiPSyLADLkgBgLAIyBLHyLHB
fdms0_sx138,lwLABcDUwLAnJLCDrJLwBJwDwLAJLhwDJwtLHrtTPD
fdms0_sx228,wQyLHGLkFQrBcLNyTcDKD
fdms0_sx318,HByULkwLCcLwLMsmcUcLhytactIaJLM
fdms0_sx408,gkIgLlwJcLhSsLlnbDvbQwDLMwDctLisyDz
fdms0_sx48,uIcDclreDLAIPvrbLHIwEyEwDLHwLAbnbnLJ
fdrw0_si1283,wQwEwDwKnBLMwlwQsmyBbLMPQymyctaBeLlwLAsUQIbLHcQBynLtgaIJ
fdrw0_si1423,hbeLkacDvyLugmcLMwLhBecFB
fdrw0_si653,KwByQwJwUcQIyeaeBwmySyTaBwLDaeBGLz
fdrw0_sx113,sDCcnJLTwBnbLkwDwnDLwULuOLtIwTwLhbatLAyLJ
fdrw0_sx203,wLAacUSsywDwmwLhIcLHhByLnLlwKwBc
fdrw0_sx23,FUCyUwKwDMaCwDgUDalcBwJBsy
fdrw0_sx293,NByUJLMsLlwULMrmyLMsLhcLABaLMwlwLAByDwUtwDCs
fdrw0_sx383,wLAaLHwLAByDwKbCLHPmaFBarIybDBIc
fedw0_si1084,lnLlhsyDBwvLCsLhyLhctaCsKnDcLacLCsKsLtaBCLSyLiLbcLhsKsLJyQatJ
fedw0_si1653,vyJLhFBLAJPlwDBy
