id,phone_sequence
fadg0_si1279,hIwLAJUaIrDaBLMrDwLMwQJ
fadg0_si1909,tbLKnPLkwDBPJIBUJLHwLDyNwKr
fadg0_si649,wLJctrJtrCcBgbLwQTyDwLMywQLHrLHwJwDrJLhnLMtrvrIFwLABymrKn
fadg0_sx109,KyJBwLMwDLJLHIswEDvrbELABaDcJLMyLHJBFLH
fadg0_sx19,cBPCwDcCLJFQSwrLAwDatwDLhytBnCDUy
fadg0_sx199,TcDLiFBLkIwDKOmcQFaGLkwLAJLhFKrLMPLAwDLMsLzwJLkwUyUwJ
fadg0_sx289,SwlrLHIytLAcBaKwUrQwrTyJtcBwDJybmB
fadg0_sx379,HbDLhwQJLMIgLyEBnJDUaDLlrJLMsU
faks0_si1573,vwJLAbLkcDEScJLMwDcDvbLurLkwDwULHyPQwtBLhPLMJLSaSaIwDLKibLhy
faks0_si2203,lwQIyJswUJtrlwJLkagQJyCDELJtPBwKDe
faks0_si943,HIwIwLkcLAKDwDstaBtaILhBSFSnLAJLwLMsKwDJ
faks0_sx133,HyLJrIywUJarLADCyETwDtrLASwLABacDLK
faks0_sx223,HwLlcLhcLirLhaLMsyLhBGwDlDLuragaK
faks0_sx313,IaLtgLJtaIDJDlcLhaLAJLHctaIyLuFSbe
faks0_sx403,vrSaILkIFLADJnJcQFSByJLArLMJDhBgQJwJ
faks0_sx43,nBlrByLHyLHBaIatcDwLAJLABPLkw
fcal1_si1403,wSaBSsUNlNbDkwlLHsKwDJgLAwLABLhBgDwJLCbDctwnJMwLJnBt
fcal1_si2033,lOLhywLABaJBKsDLkwNrFSswJLMaGBgLlnJ
fcal1_si773,BnmaBLHIaLznLAJLMIgJBFBytrJnQIBlnbsUJU
fcal1_sx143,wJbDkwLzwDwtrULhTLuBJLAwrlwbDBF
fcal1_sx233,vgSsywDtIySsCyDwJsCDLlbsE
fcal1_sx323,wtgaLHrQnDwlnCLtrCrIgQwEacDLMgC
fcal1_sx413,kbtLDyJLSymwJLDsmcLHGLJLAaItLCbLiLMrJLAr
fcal1_sx53,yQwQwDwJwLHBQwLAbLhTwBnIsLAwDLMsDJwDhBJU
fcmh0_si1454,cIwLzBsyLlwCsDLMgLKTPULMSrQnIywJLAaCLHwUwKwDUcQLHaBynJLMrJ
fcmh0_si2084,ScmcLhbmwLMyQIwClsbD
fcmh0_si824,JnQBtrCUnCrsLiwDLkgUwEwDUgDLHInLHrsKwDLMPtyCnDwtbLKrwJU
fcmh0_sx104,vyJLkFBLkgCLrCcLhsLr
fcmh0_sx14,ytaINlnrULMwUwLUbCDLIyQyPnQIytaICyBc
fcmh0_sx194,hswDLzGnSnDgaLkwKwD
fcmh0_sx284,zntLMagyPaILuTPLkwDtsQhrcQwJwDLzwtTPLiLHrLiwJ
fcmh0_sx374,zaDLAByDUwKnBtwKtaInBwlwE
fdac1_si1474,vgJLAybEDCbDvyUJbLhBwUNLCgaLkwJLMbsyJLU
fdac1_si2104,veavgvytJNagaLsLBgKJLkFQGnJyLbDBgbJ
fdac1_si844,lbaJLMbLCwLAFBcQtwKwDUJsywUwLisyQLMLbLlywLAJLHbDLMJnQbLiKGaBLsLAJLHnaIywDLJ
fdac1_sx124,gaLzwLiJLCsmwLHTPmrLhyPmctaB
fdac1_sx214,lnCaDwELkwFBgaDlnJLhbgLmwSbLuBnJnDLkwLwDlwJgD
fdac1_sx304,iyLMJLkgLAyEwULCbgDlctbJLMgCDlnSLhaD
fdac1_sx34,keBeDLkPLibgByUJLMsmyLkwKwUJ
fdac1_sx394,AbeJywCsLJLhaFDUJwDLMyJLkIagaD
fdms0_si1218,HFBwLJCaIBQrLMcSnBgvyCwDLHbKDU
fdms0_si1502,wSwUDcgLUaLByLHbDwLAvsLAstSsLMyLhwLHsLAwLDcaLzwJwLlnr
fdms0_si1848,SyLAwDLkgLMiyPLSyLADkgBgLAIwBLHyLHB
fdms0_sx138,lwLABcDUwLAnJLCDrJLkwBJwDwLAJLhwDUwNLHrtyPCD
fdms0_sx228,lwQyLHGLkBQIBcLMycFKwD
fdms0_sx318,HByULkwLCcLMsmwnUcLhytactIaJLM
fdms0_sx408,gkIglwJcLhSsLlbCvbQcDLMwDwtLisyDz
fdms0_sx48,uIbDclreDLuIPvrIbLHIEDyEwDLHnDwLAHbLJU
fdrw0_si1283,lwQwEwDwKnBLlwlwQsmyFBbLMwQwmyctaBbLlwLAsUQbLHcLBynLtgarLJLM
fdrw0_si1423,cLhbLkagDvyLkgamcLMwLhBecB
fdrw0_si653,KwBylwJwUwQIybBgmySyaBwLDgByLzJ
fdrw0_sx113,nDnJLAwBngbLkwCnDLwULuwLktIyTwLhbatLAyLJM
fdrw0_sx203,lwLAaUSsynDlwLkwLhIcLHByLbLlwKwBac
fdrw0_sx23,lFUCyUwKwDUvaCwDgUCaQlcBwJBsy
fdrw0_sx293,AByJLMsLlwULkrmyLMsLcLAaLMwlwLAByDwUtwCs
fdrw0_sx383,lwLAaLHwLAByDnKbCLHPmaIybDBQIca
fedw0_si1084,lnLlsyCECBwPLCsLhyLhctaCsKnDcLaLsKsLtaBCLSyLiLubcLhwsKsLJyQatJ
fedw0_si1653,vyJLhaBLuJFPlwDBsy
fedw0_si1714,vwrJLScBPBaLALScLDaDlcBysJLknLhywD
fedw0_sx184,lnLAbLJCyTaBLaBSsUvryLJLCgLyrULU
fedw0_sx274,ABntLScJwPULhaLhFBcLiwrIywJLCcJaLi
fedw0_sx364,lyLznbDLMbgCyswELAaCBaJLAaBSwDJgmsLSwLlwLharsLkbeDLcQsvymwEDLJwJLMwCLHaGgLM
fedw0_sx4,zbsCsnIrwECaICgDyLhgeSILAwDvaILk
fedw0_sx94,TaDLAJLMrwJBecaQLAaCcDLAbDLynJLMIyLJU
fgjd0_si1179,ScLKnlyUwtnLAJLhy
fgjd0_si549,yJLHIFLIwDUwDLtwJgUNwLAJnLMrDJUwQLhgIsKBLABbJtIrCULHyULcBy
fgjd0_si818,hFCDUwELAaIBwLzLMIwDULCwLHaIBsywDLMwDLMPIwtBnLlLFBLMwJaDwLAJwLDFBUJ
fgjd0_sx189,kwJLMrGsnIytgeIwBsmwLMwCrbaLkwLJU
fgjd0_sx279,eBJwUwLlwBLMyLzPSrLASLMbnJwLHrQhwKwDwUDFLSrly
fgjd0_sx369,haLHsLHrmFQwUcBwQyEIrIPCwrFBUJ
fgjd0_sx9,SnrISIrwrwTPHSaSySrSsy
fgjd0_sx99,CDwLkyQBJwJgLySwULHsJLMncDvgraILAyUJU
fjem0_si1264,kywbwbDLJwUaBLMwDsPLScNJgagDLrJLhFLAwDtrJPLU
fjem0_si1894,gtalrIwbDvwCgatvwJwLANyTwUwLuce
fjem0_si634,vyrvyPwJLASgLHrJLSsNwQByLlwQnIyEwCLhgmwCnDwDCyDwtJwDJtBgDJ
fjem0_sx184,lwLAbLJCyeBaBGJvrLJCgyTPwDJ
fjem0_sx274,ABwctSwJPNLhglcBwLAKwIywJLCcJtgwKJ
fjem0_sx364,yLzcDLMvgCBywELAcCSaJLAFwDJgmwLSwNlcLHIsLkegDwQwvymwEDJwJLkwCLHvgar
fjem0_sx4,zsDCsrgCagCgDyLhgSrLAwDcvgr
fjem0_sx94,TcDJLMrUJcBcQLAaDwELAvbLkynJLiMIyLMJ
fjmg0_si1181,HaLHrByTyULlwLHInUwCLhOnLlwUwDbLAJBwDLwULMrCnDnCwDBgDCnLD
fjmg0_si1811,HInJUwBsvwULSgmrLhInmrJnLhInLMcJBy
