id,phone_sequence
fadg0_si1279,HIwLAJaIrDFBLMrDwLMwQ
fadg0_si1909,tbLKnFPLwDBPJIFBUJLHwLDyLtwKr
fadg0_si649,wLJntrJtrCcBbLcQHyDwLMywQLHrLHwJwDrJLHnLMtrvrIFwLABymrKn
fadg0_sx109,KyJBwLMwDJLHryEvrbELABaDcJLMyLHJBFLH
fadg0_sx19,cnBPCwDcCDJFQSrLAnDaBtwDLhytBnDUwy
fadg0_sx199,TnDLiBLkIwDKOmcQaGwmwLAJLhFKrLMPLAwDLMsLzwJLkwUyUwDUJ
fadg0_sx289,SwlrLHIwtLAcBaKwUrQwrITyJtBwDJybmB
fadg0_sx379,HbDLuwQJMIaILwEBncJDUaDLlrJLMsUJ
faks0_si1573,vwJLAbLMcEScJLMwDcDvbLurLkwDwULhyPmwtBLhPLMJLaISaIDwDKbLhy
faks0_si2203,lwQIyUJswUJtwlwJLagQJyDELMtBwKDe
faks0_si943,HILkcLAKDwDBstaBtaILhcBFSwLAJLwLMsKwDJ
faks0_sx133,HyLJrIywUJaILMwEQyETwDtrLASwLABaDLiK
faks0_sx223,HBnLlcLhBOLirLhaLMsLhBFBcDcLuraK
faks0_sx313,HIaLtataIDJwDcLhaLAJLHctaIyLuFBe
faks0_sx403,vrSaILMIFLADJnJcQFByJLArLMJDLhBgQJwJ
faks0_sx43,nBLrByLHyLHBarIatDwLAJLABPLkw
fcal1_si1403,wSaBSsUNbDkwlLHsKwDJaLAwLABLhBgDwJLCbDbtnJMwLJnBt
fcal1_si2033,OLhwLABaJBKsDkwNrFSswJLMaIyBgLlnJ
fcal1_si773,BnmBLHIaLznLALMIgJBFBytrJnQIBLkbsJ
fcal1_sx143,wJbeDkwLzwDwtrULhTyLuBJLAswrwLknwbDBg
fcal1_sx233,vgSsywDtIySsCyDwJsDLMbsDE
fcal1_sx323,wtaLHrQnmwlnCtrCrIgQwEaDLMagC
fcal1_sx413,kbtLDyJLSymwKLDsmBLHGDLJLAaItCbLiLMrJLAr
fcal1_sx53,yDwJwLHBFQwLAbLhywBynIsLAwDLMsDJnCLhBJ
fcmh0_si1454,cIwLzBsyLlwCsDLMgLKyTPULMSrQnIywJLAaCLHwUwKwDUctLHaBycJLMrJ
fcmh0_si2084,SBcmcLhebmwLMyIyCDlsbD
fcmh0_si824,JnQBtrCUnCsLiwDLkgUwEwDUgDLHInLHrsKwDLMIPtyCbnDwtbLirwU
fcmh0_sx104,vyJLMFBcLkagCLQHICcLhsLur
fcmh0_sx14,ytaINnIrULMwUwLJbCLIyQTPnIQIytaICyBa
fcmh0_sx194,sywDzGwSnDgaLkwKwD
fcmh0_sx284,zntLlayPaILuTPLkwDtsQrcQcJwLzwtTPLiLHrLiwJ
fcmh0_sx374,zaDLAByDUwKnBtwnKtaIBwQwE
fdac1_si1474,vgJLuybEDCbDvyUJbLhBwDtLCaLkwUJLMsyJLJ
fdac1_si2104,veavgeavytaLsLBgbKJLkFQGnJyLbQBgbJ
fdac1_si844,teaUJLMbLDwLAFBctwKwDUJsywUwLisyQLMLbLlMysLAJLhbDLMJnQbLiKaBsLAJLhneaIywDLJ
fdac1_sx124,gaLzwLJLCsmwLHyPmrarILhTyBmctaB
fdac1_sx214,lcCaDwELkwBvaDlnUJLhgLwSbLuBnJnDLMwLwDlwJgD
fdac1_sx304,iyLMJLMagDLAyEwUJCbgDlctIsrnJLMgDlnSCaD
fdac1_sx34,knFEDLkPLibeByUJLMsmyLkwKwUJ
fdac1_sx394,AbeBJybCsLJLhaFDUJwDLMyJLMIaED
fdms0_si1218,HFBLJCaIBQrLcSnBcgEvyCwDLHbKDU
fdms0_si1502,wSwUDcDwLUaLAByLHbDsLvsLustSsLMyLhwLHsLALDcaLzwJwLHMnr
