id,phone_sequence
fadg0_si1279,HIrLAJUarDaBLMrDwLMwtL
fadg0_si1909,tnbLKwnwLywDBwJIrBJLhwLDyLtwKrL
fadg0_si649,wLJcnctrJtrDBgbLAwLKTyDwLMJywLHrLlwJwDIrJLhnLMtrIFwLABsyrKAnLHL
fadg0_sx109,iKyJBwLMwDJLHrIsEDIrIbsLABaDwJLMyLJBFLHL
fadg0_sx19,AaBFDnDUJFBSrLAwDaBtwDhytBcDUJwyL
fadg0_sx199,TnDzKMFBLQrDKwmwQSIwLwLAJLhFrKrLMwLAwDLMAsLzwJLJwUyUJUwJL
fadg0_sx289,SwLwrLHIwtLABaKwUJwrQhryJtBcDJynbaBL
fadg0_sx379,HAwbDLywJLtragQmyEBcJDUJBDLlrJLMnswUJL
faks0_si1573,AwJLAbaLMwDwaSJLlwDcDAbwLkrLkwDwUJLhyPDwtBLhwPBLJSarSarDwDKibaLyL
faks0_si2203,lwIyJwUJtwLlwJLhagsLJyEDLAtSwBwKDnbeaeaBL
faks0_si943,HIwLaLAKwmsystaBtarLhBFSLAJLlwLMsyKwDJL
faks0_sx133,HyLJwrIywUJFrLADyDywtrLASwLAaDwDLKL
faks0_sx223,HScLlwDhLMrLhBaLMsywLhBDwLrIagKL
faks0_sx313,ArIaLtagatJtarDJwDwELhaLAJLhBtaryLuaSgaBL
faks0_sx403,ArSarLurFLADJwJcQhFwByJLArLMJDwhBgaBJwJL
faks0_sx43,nBrPByLHAyLBaIatNDwLAJLAByPLkwL
fcal1_si1403,tLHwSaBSBsywUtsnbnDwLwLHAsKiwDJgLAwLABLhBgDnwJDCbntnJwLJnatL
fcal1_si2033,SPwLwywLABaJBKnbsDkwLMrFBSsnwJLMFarwBgLlsnJL
fcal1_si773,SBnaBLHIagLznLALMrIgbJBwtrJnQIBLlnbsDJL
fcal1_sx143,lwJnbDwLzwDwtrULhyLhBJLAyrwLlnsbBaFBL
fcal1_sx233,AagFSsynDtIyPSBsDwyDwJnbwDLlnbwDL
fcal1_sx323,lwtaLHrQnLnDtrDrIgnQwDnacDLMagDL
fcal1_sx413,kMnbtLDyJSywKJDswLHtABSwLJLAartLDbLKLzrJLArL
fcal1_sx53,yDwUJwLHBLAbnLhywBsnrysLAwDLMbsDJnDhBJL
fcmh0_si1454,aIwLzwBaBsyLwCsyDLMagLKyPwJLMLSrQhrhrnrywJLAaCLHwUJwKwDJctLHaBsywnJzwJL
fcmh0_si2084,SBgnLhbnLMyQrwDknbDL
fcmh0_si824,JnQhaBtrDUnCrLzwDkbgJsEDynwDUJagDLHrnLHrsKwDMrwLyDnwDwtbLKMrwJL
fcmh0_sx104,AyJLMwBcLkagwDLHrCcLhnsLur
fcmh0_sx14,hyLtaIwLlnrwJlwUJwLJnbnCDLIyQyPBsnrQIytaDCwaBaL
fcmh0_sx194,hwsywDzagsnwBSgDagbagLkwKwDL
fcmh0_sx284,zKabtLlagLyPBarLuTPLkwDLtnsLhrIbLwJwzwLAyLzLHrLzwJL
fcmh0_sx374,zaDLAByDJLwKaBtswKLtaInBwQwEwDwDL
fdac1_si1474,AbJLAybDbDwvyUJbLDhBwtJLCaLMwJLMbsyJLJL
fdac1_si2104,AgatgbvgvLKAytJtagaLAsLBgnKLMwFQBSBanJwsyKALnbDBgvbJLJL
fdac1_si844,tbacwJLMbLlDwLAaBFQtMwUKwDwUJsywUJwLiKsyPLbnLMysLAJLHbcDLAJnQbLzKiKMFaBLhsLJLHhnraIywcDLJL
fdac1_sx124,HgaLzwLJLDsmwLAywmrLhyPDmDmwtaL
fdac1_sx214,lwDCaDwsDLkwFBaDlnwJLHgbwLwBSBbnLABnJwDwLMwLwDlwJbgaDwDUL
fdac1_sx304,iKyLJLMngbLAyDwUJLzMCbgbDlctnwJLMbgvAnDwUlncLSaDL
fdac1_sx34,MnaDwLzwPLiKibvaByJLMwnsyLMysKwswUJL
fdac1_sx394,MAbvaBJywDsyLJLhaBDwUJwDLMyJLMaDL
fdms0_si1218,HBcLJDCBaIrBtrLMDSBgDyvyDwDHAbKDJL
fdms0_si1502,AwBwUDebebwLUabLBwLHvbnwsLADvbsLAstSBgsLMyLlwLHsLALhDbaLzwJwLAbnrL
fdms0_si1848,SyLAwDagsLMJKyPCSyLADagaBgLAIywBLAyLHBL
fdms0_sx138,DlDlwLABcDUwLAvwJDrJLkwBJDwLAJLhwDJwJLHArtAywDL
fdms0_sx228,MwQyLHAaBwDkykyFBQrwDlcLMtywDKwDyL
fdms0_sx318,MNBwyJLMwLCcLMswnwUJnbLhytSBtaJLzJL
fdms0_sx408,AgLkIaILkwJncLhSBgLlnbgvbQwDwDwtLibyDKL
fdms0_sx48,uIrbwDcQrbaLArwDvrIbLHIEDyDLvbsysLAbwLJL
fdrw0_si1283,lwmyEDywDwKnBLMwnwLlwQsyagbLMwywyanatLtaBabgbaLMwLMAsUwQIbgbLcLBsynLtJLtaLJLML
fdrw0_si1423,hbFLMwBagDvyLAabgbncLMJMJwLHBaBL
fdrw0_si653,KwFBsmwJwUwIybacmySyaBwLlDaBsLiKL
fdrw0_sx113,bDnJLAwBabgbaLwDnbDLwULAwLtyTwLhbvaLALAJL
